UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
09450607701,PS EKDALA,PRAYAGRAJ,EKDALA,Uttar Pradesh,Department of Education,Primary,212402
09450607801,PS BHARHARI,PRAYAGRAJ,BHARHARI,Uttar Pradesh,Department of Education,Primary,212404
09450607401,PS PARWEJA BAD,PRAYAGRAJ,PARWEJA BAD,Uttar Pradesh,Department of Education,Primary,221505
09451807403,CHANDAN DEVI GIRLS U.P.S.,PRAYAGRAJ,GHOREDEEH,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212307
09451803012,GIREESH KUMARI GIRLS INTER COLLEGE,PRAYAGRAJ,BARAWAN,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,212306
09451012101,P.S. MURLIPUR GADIYA,PRAYAGRAJ,MURLI PUR,Uttar Pradesh,Department of Education,Primary,212306
09451012102,UMA KANT TIWARI P.S. MURLIPUR,PRAYAGRAJ,MURLI PUR,Uttar Pradesh,Private Unaided (Recognized),Primary,212106
09451017202,P.S. GALADAHAVA,PRAYAGRAJ,GADHIYA MURLIPUR,Uttar Pradesh,Department of Education,Primary,212306
09451017701,P.V. BADAUWA PAL,PRAYAGRAJ,BADHAUA PAL,Uttar Pradesh,Department of Education,Primary,212306
09451009103,UPS KORAON,PRAYAGRAJ,KORAWAN,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451009003,COMPOSITE SCHOOL BAIDWAR,PRAYAGRAJ,BAIDWAR,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451008702,U.P.S. AYOUDHAYA,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451001402,COMPOSITE SCHOOL  CHANDI,PRAYAGRAJ,CHANDI..,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451015001,COMPOSITE SCHOOL MADFA KALA,PRAYAGRAJ,MADFA KALA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451009502,U.P.S.MISHRAPUR,PRAYAGRAJ,MISHRA PUR ..,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451001702,COMPOSITE SCHOOL KARPIYA,PRAYAGRAJ,KARPIYA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451002102,COMPOSITE SCHOOL SEMARIHA,PRAYAGRAJ,SEMARIHA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451017301,P.V. CHAPAR HARDAUN,PRAYAGRAJ,CHAPAR,Uttar Pradesh,Department of Education,Primary,212306
09451015402,HARIJAN AWAM ADIWASI P.S.,PRAYAGRAJ,KHETARPALIYA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451015901,JAN SEVA SAMITI U.P.S.,PRAYAGRAJ,HANUMAN GANJ,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451004602,UPS SANSAR PUR,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451004204,P.S. LAKHA PUR,PRAYAGRAJ,PAITIHA,Uttar Pradesh,Department of Education,Primary,212306
09451004606,P.S. KANHAIYA,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Primary,212306
09451004601,PS SANSAR PUR,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Primary,212306
09451004604,SANT KABIR SIKSHAN SANSTHAN,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451004605,P.S. CHARKI,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Primary,212306
09451004607,RAJKIYA U.M.V. SANSAR PUR,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Secondary Only,212306
09451005902,U.P.S. BASAHA,PRAYAGRAJ,BASAHA,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451004603,P.S. ATAREJI,PRAYAGRAJ,SANSARPUR,Uttar Pradesh,Department of Education,Primary,212306
09451007601,PS CHAPAR,PRAYAGRAJ,CHAPAR,Uttar Pradesh,Department of Education,Primary,212106
09451004005,COMPOSITE SCHOOL RANGNATH PAHADI,PRAYAGRAJ,MAHULI..,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
