UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
09240816601,ALJAMIATUL ISLAMIA ALIMIAN NADWI NEVADA,SITAPUR,ARJAAN PUR,Uttar Pradesh,Private Unaided (Recognized),Primary,261135
09242100202,MADARSA ASHRAFUL ULOOM KHAIRABAD  ARJUN PUR,SITAPUR,WARD 24,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242102204,MADARSA ARBIYA FAIZUL ULOOM NAGRA  ROAD SITAPUR,SITAPUR,WARD 25,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242100204,MADARSA NIYAZIYA ISLAMIYA  MIYAN  SARAIN KHAIRABAD SITAPUR,SITAPUR,WARD 24,Uttar Pradesh,Madarsa unrecognized,Primary with Upper Primary,261131
09242102202,SUSHEELA MONTESORY SCHOOL ANANDNAGAR,SITAPUR,WARD 25,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242100203,MADARSA  NAJMUL ISLAM MOHLLA MIYAN SARAIN KHAIRABAD,SITAPUR,WARD 24,Uttar Pradesh,Madarsa unrecognized,Primary,261131
09242102205,MADARSA  IMTIAZUL ULOOM SHEKH SERAI KHAIRABAD,SITAPUR,WARD 25,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242101319,BRIGHT CERCLE SCHOOL HATAURA SITAPUR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242101306,UNITI PUBLIC SCHOOL,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242101317,BRIGHT CERCLE SCHOOL HATAURA SITAPUR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242101322,Sarswati Shishu Mandir,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242100108,GOLDEN JUBLEE JUNIOR HIGH SCHOOL MISHRIKH,SITAPUR,WARD9,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,
09242101301,P.S SHISHU SHIKSHA NIKETAN,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242101316,BHARAT RATNA BABA SAHAB BHEEMRAO AMBEDKAR SMARAK VIDYALAY,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242101321,MADARSA BABSON PUBLIC SCHOOL SUJAVALPUR,SITAPUR,WARD 1,Uttar Pradesh,Madarsa unrecognized,Primary,261001
09242101318,JEEVAN JYOTI SCHOOL NAGAR KHAIRABAD,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261001
09242101320,BRIGHT CERCLE JUNIOR HIGH SCHOOL HATAURA SITAPUR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,261001
09242101303,BALIKA  VIDHYALAYA J.H.S,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,261131
09242101312,P S A S INTER COLLEGE KHAIRABAD SITAPUR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,261131
09242100110,madarsa islamia unity public school,SITAPUR,WARD9,Uttar Pradesh,Madarsa recognized (by Wakf board/Madarsa Board),Primary with Upper Primary,
09242101307,SWAMI DAYAL VIGYAN SCH.,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242101314,BHARAT RATN BABA SAHAB BHEEMRAO AMBEDKAR SMARAK VID. NAGRA,SITAPUR,WARD 1,Uttar Pradesh,Madarsa unrecognized,Primary,261001
09242101324,CHILD CARE PUBLIC SCHOOL KHAIRABAD,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242101304,BALIKA VIDHYALAYA P.S,SITAPUR,WARD 1,Uttar Pradesh,Government Aided,Primary,261131
09242100109,MADARSA HIRA PUBLIC SCHOOL NAGAR KHAIRABAD,SITAPUR,WARD9,Uttar Pradesh,Madarsa unrecognized,Primary,
09242101313,SUMITRA PUBLIC INTER COLLEGE SITAPUR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,261131
09242100106,MADARSA BRIGHT FUTURE MODERN SCHOOL,SITAPUR,WARD9,Uttar Pradesh,Madarsa unrecognized,Primary,261001
09242101315,NEW SAYVADNA UMAR FARUKH NAI BASTI AHMADNAGAR,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242101323,MADARSA ROSHNI PUBLIC SCHOOL,SITAPUR,WARD 1,Uttar Pradesh,Madarsa unrecognized,Primary,261131
09242100107,MADARSA SAADAT ASHFAQUL ULOOM KHAIRABAD SITAPUR,SITAPUR,WARD9,Uttar Pradesh,Madarsa unrecognized,Primary with Upper Primary,261131
09242101302,S.S. MANDIR KHAIRABAD,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242102703,MADDARSA ISLAMIA PUBLIC SCHOOL BAJDARITOLA KHAIRABAD,SITAPUR,WARD NO 19,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242102702,MADARSA ISLAMIA SIDDIKIA TURKPATTI KHAIRABAD,SITAPUR,WARD NO 19,Uttar Pradesh,Madarsa unrecognized,Primary,261001
09242102602,GREEN WAY MODERN SCHOOL,SITAPUR,WAD NO 18,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242102601,SARASVATI VIDYA MANDIR,SITAPUR,WAD NO 18,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,261131
09242100604,MADARSA  HAJI ROSHAN  MEMORIAL  SCHOOL KHAIRABAD,SITAPUR,WARD 2,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242102604,MADARSA ARABIA AHYAUL ULOOM TURKPATTI,SITAPUR,WAD NO 18,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261001
09242102603,SANKAT MOCHAN HANUMAN S.SANSTHAN,SITAPUR,WAD NO 18,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261131
09242100603,MADARSA NIYAMAT JUNIOUR  HIGH SCHOOL KHAIRABAD,SITAPUR,WARD 2,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242102606,MADARSA NIYAZIYA MODERN PUBLIC SCHOOL,SITAPUR,WAD NO 18,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261131
